"A total of %1 submission(s) have been sent to Zapier.","A total of %1 submission(s) have been sent to Zapier."
"Are you sure?","Are you sure?"
"Enable Zapier Webhook","Enable Zapier Webhook"
"Send Data","Send Data"
"Zapier","Zapier"
"Zapier Integration Settings","Zapier Integration Settings"
"Zapier webhook not configured","Zapier webhook not configured"
